0
POINT (-89.95277208199995 35.08684412200006)
POINT (-90.05508451699994 35.11898335600007)
POINT (-90.01747701499994 35.165437373000046)
POINT (-90.05445282399995 35.14485114800006)
POINT (-89.78098441099996 35.14244362600006)
POINT (-89.97524480699997 35.17784262000005)
POINT (-89.90833503099995 35.06242548500006)
POINT (-90.06244168299996 35.04836592200009)
POINT (-89.89235853999996 35.11125034300005)
POINT (-89.93540074999999 35.156082791000074)
POINT (-89.92120437999993 35.21238844100003)
POINT (-90.05599104099996 35.09494205600005)
POINT (-90.00171102899998 35.22695249300007)
POINT (-89.96047723399991 35.13238670700008)
POINT (-90.04427420099994 35.13467860500006)
POINT (-90.00748641499995 35.03612700000011)
POINT (-89.779447 35.142536)
POINT (-90.016259 35.167534)
POINT (-89.999199 35.114668)
POINT (-89.902647 35.085647)
POINT (-89.856471 35.043964)
POINT (-89.94985 35.226899)
POINT (-90.066779 35.095936)
POINT (-90.030763 35.094091)
POINT (-89.919482 35.162073)
POINT (-90.040085 35.166079)
POINT (-89.978495 35.232647)
POINT (-90.014958 35.030812)
POINT (-90.021504 35.118081)
POINT (-90.091253 35.031149)
POINT (-89.975894 35.108256)
POINT (-89.950321 35.113156)
POINT (-89.961651 35.140887)
POINT (-89.953672 35.17661)
POINT (-89.912657 35.225649)
POINT (-89.898235 35.069161)
POINT (-90.004064 35.204899)
POINT (-89.975245 35.178883)
POINT (-90.085194 35.055918)
POINT (-90.026326 35.167546)
